9,Female,Married,45 thru 54,35 thru 44,Homemaker,More than ten years,No,three,None,Own,House,White,NA
9,Male,Married,45 thru 54,45 thru 54,Homemaker,More than ten years,No,five,two,Own,House,White,English
9,Female,Married,25 thru 34,45 thru 54,Professional/Managerial,More than ten years,Yes,three,one,Rent,Apartment,White,English
1,Female,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,four,two,Live with Parents/Family,House,White,English
1,Female,Single or never married,14 thru 17,18 thru 24,Student or HS or College,Four to six years,Not Married,four,two,Live with Parents/Family,House,White,English
8,Male,Married,55 thru 64,35 thru 44,Retired,More than ten years,No,two,None,Own,House,White,English
1,Male,Single or never married,18 thru 24,25 thru 34,Unemployed,Seven to ten years,Not Married,three,one,Rent,Apartment,White,English
6,Male,Divorced or separated,25 thru 34,35 thru 44,Factory Worker/Laborer/Driver,More than ten years,Not Married,one,None,Rent,Apartment,White,English
2,Male,Married,55 thru 64,25 thru 34,Retired,More than ten years,No,three,None,Rent,Apartment,White,English
4,Male,Married,65 and Over,35 thru 44,Retired,Seven to ten years,No,two,None,Rent,Apartment,White,English
1,Male,Single or never married,18 thru 24,35 thru 44,Unemployed,More than ten years,Not Married,one,None,Rent,Apartment,White,English
4,Female,Living together or not married,18 thru 24,25 thru 34,Sales Worker,More than ten years,Not Married,two,None,Own,House,Hispanic,English
8,Female,Married,25 thru 34,55 thru 64,Student or HS or College,One to three years,Yes,four,two,Own,House,White,English
7,Female,Married,45 thru 54,25 thru 34,Homemaker,More than ten years,No,four,None,Rent,House,White,English
4,Male,Widowed,55 thru 64,25 thru 34,NA,More than ten years,Not Married,one,None,Own,House,White,NA
7,Female,Married,45 thru 54,35 thru 44,Professional/Managerial,More than ten years,Yes,two,two,Own,House,White,English
1,Female,Divorced or separated,25 thru 34,25 thru 34,Sales Worker,One to three years,Not Married,two,one,Rent,Apartment,White,English
9,Female,Married,45 thru 54,45 thru 54,Professional/Managerial,More than ten years,Yes,two,None,Own,House,White,NA
8,Female,Married,45 thru 54,25 thru 34,Homemaker,Less than one year,No,two,None,Rent,Apartment,White,English
9,Male,Single or never married,14 thru 17,18 thru 24,Unemployed,NA,Not Married,four,two,Live with Parents/Family,House,White,English
2,Male,Divorced or separated,35 thru 44,18 thru 24,Factory Worker/Laborer/Driver,Seven to ten years,Not Married,two,None,Rent,Apartment,White,English
9,Female,Married,35 thru 44,35 thru 44,Sales Worker,More than ten years,No,five,three,Own,House,Hispanic,Spanish
8,Male,Married,35 thru 44,35 thru 44,Professional/Managerial,More than ten years,No,five,three,Own,House,White,English
4,Female,Divorced or separated,45 thru 54,35 thru 44,Sales Worker,Four to six years,Not Married,three,None,Rent,Other,White,English
1,Female,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,four,one,Live with Parents/Family,House,White,English
9,Male,Married,25 thru 34,45 thru 54,Professional/Managerial,More than ten years,Yes,three,one,Rent,Apartment,White,English
7,Male,Married,35 thru 44,35 thru 44,Professional/Managerial,More than ten years,Yes,three,None,Own,House,White,English
9,Male,Married,35 thru 44,35 thru 44,Professional/Managerial,More than ten years,Yes,three,one,Own,House,White,English
6,Male,Married,35 thru 44,55 thru 64,Professional/Managerial,NA,Yes,three,one,Own,House,White,English
4,Female,Divorced or separated,65 and Over,25 thru 34,Retired,More than ten years,Not Married,one,None,Own,Other,White,English
6,Female,Divorced or separated,35 thru 44,45 thru 54,Professional/Managerial,Seven to ten years,Not Married,five,three,Own,House,White,English
8,Female,Married,35 thru 44,35 thru 44,Professional/Managerial,Seven to ten years,Yes,four,two,Rent,House,White,English
1,Female,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,four,two,Live with Parents/Family,House,White,English
1,Female,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,three,one,Live with Parents/Family,House,White,English
1,Male,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,six,four,Live with Parents/Family,House,White,English
8,Female,Married,35 thru 44,35 thru 44,Homemaker,NA,No,six,four,Own,House,White,English
2,Female,Married,65 and Over,25 thru 34,Homemaker,More than ten years,No,two,None,Own,House,White,English
8,Female,Married,35 thru 44,25 thru 34,Homemaker,Less than one year,No,three,one,Own,House,White,English
9,Male,Married,45 thru 54,55 thru 64,Professional/Managerial,More than ten years,Yes,four,None,Own,House,White,English
5,Female,Divorced or separated,35 thru 44,45 thru 54,Professional/Managerial,Four to six years,Not Married,two,one,Rent,Apartment,Asian,Other
2,Female,Widowed,55 thru 64,55 thru 64,Professional/Managerial,Less than one year,Not Married,one,None,Rent,Apartment,White,English
1,Male,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,five,two,Live with Parents/Family,House,White,English
8,Female,Married,35 thru 44,35 thru 44,Professional/Managerial,More than ten years,Yes,five,three,Own,House,White,English
8,Female,Married,45 thru 54,35 thru 44,Homemaker,More than ten years,No,three,None,Own,House,White,English
2,Female,Single or never married,18 thru 24,18 thru 24,Student or HS or College,One to three years,Not Married,three,None,Live with Parents/Family,House,Black,English
6,Female,Married,55 thru 64,35 thru 44,Sales Worker,More than ten years,Yes,four,two,Rent,House,White,English
8,Female,Married,45 thru 54,35 thru 44,Homemaker,More than ten years,No,three,None,Own,House,White,English
6,Female,Married,55 thru 64,25 thru 34,Homemaker,NA,No,two,None,Own,House,White,English
8,Female,Married,35 thru 44,25 thru 34,Homemaker,Four to six years,No,six,four,Own,House,White,NA
6,Female,Married,25 thru 34,25 thru 34,Homemaker,More than ten years,No,five,three,Own,House,Hispanic,English
4,Female,Single or never married,14 thru 17,18 thru 24,Sales Worker,More than ten years,Not Married,three,one,Live with Parents/Family,Condominium,White,English
7,Male,Divorced or separated,45 thru 54,35 thru 44,Professional/Managerial,More than ten years,Not Married,one,None,Rent,Condominium,White,English
1,Male,Single or never married,14 thru 17,18 thru 24,Student or HS or College,NA,Not Married,five,three,Live with Parents/Family,House,White,English
9,Female,Married,45 thru 54,55 thru 64,Homemaker,More than ten years,No,two,None,Own,House,White,NA
3,Male,Married,14 thru 17,45 thru 54,Retired,More than ten years,Yes,three,None,Rent,House,Black,Spanish
1,Male,Single or never married,14 thru 17,14 thru 17,Factory Worker/Laborer/Driver,More than ten years,Not Married,NA,None,Live with Parents/Family,House,White,English
1,Male,Single or never married,14 thru 17,14 thru 17,Student or HS or College,More than ten years,Not Married,four,two,Live with Parents/Family,House,White,English
9,Female,Married,35 thru 44,35 thru 44,Professional/Managerial,More than ten years,Yes,two,None,Own,House,White,English
8,Female,Married,55 thru 64,55 thru 64,Homemaker,More than ten years,No,two,None,Own,House,White,English
1,Female,Divorced or separated,45 thru 54,35 thru 44,Professional/Managerial,One to three years,Not Married,one,None,Own,House,White,English
8,Male,Married,25 thru 34,35 thru 44,Factory Worker/Laborer/Driver,More than ten years,Yes,three,one,Own,House,White,English
4,Male,Divorced or separated,35 thru 44,25 thru 34,Factory Worker/Laborer/Driver,More than ten years,Not Married,one,None,Own,House,Other,English
8,Female,Married,25 thru 34,45 thru 54,Professional/Managerial,Seven to ten years,Yes,three,one,Own,Condominium,White,English
7,Male,Married,65 and Over,35 thru 44,Retired,More than ten years,Yes,four,two,Own,House,White,English
3,Female,Married,45 thru 54,35 thru 44,Homemaker,NA,Not Married,four,one,Rent,Apartment,Asian,NA
1,Male,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,five,three,Live with Parents/Family,House,Hispanic,English
1,Male,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,five,three,Live with Parents/Family,House,White,English
7,Female,Married,35 thru 44,35 thru 44,Homemaker,Seven to ten years,No,four,two,Own,House,Asian,Other
1,Male,Single or never married,14 thru 17,14 thru 17,Student or HS or College,More than ten years,Not Married,three,None,Live with Parents/Family,House,White,English
9,Female,Married,55 thru 64,45 thru 54,Professional/Managerial,NA,Yes,two,None,Own,House,White,English
3,Female,Divorced or separated,35 thru 44,18 thru 24,Professional/Managerial,More than ten years,Not Married,two,None,Live with Parents/Family,House,White,English
9,Female,Married,35 thru 44,35 thru 44,Homemaker,More than ten years,No,four,two,Own,House,White,English
8,Female,Married,25 thru 34,35 thru 44,Homemaker,One to three years,No,four,two,Own,Condominium,White,English
1,Male,Single or never married,14 thru 17,18 thru 24,Clerical/Service Worker,More than ten years,Not Married,five,three,Live with Parents/Family,House,White,English
6,Female,Married,45 thru 54,25 thru 34,Homemaker,NA,No,three,one,Own,House,White,English
2,Female,Married,55 thru 64,25 thru 34,Retired,NA,No,NA,None,Rent,Apartment,White,Other
4,Female,Single or never married,25 thru 34,45 thru 54,Professional/Managerial,More than ten years,Not Married,four,None,Rent,House,Black,Other
3,Female,Married,65 and Over,25 thru 34,Homemaker,NA,No,two,two,Own,House,White,English
8,Female,Living together or not married,18 thru 24,45 thru 54,Professional/Managerial,Seven to ten years,Not Married,two,None,Rent,Apartment,White,English
5,Male,Married,25 thru 34,45 thru 54,Student or HS or College,One to three years,No,three,None,Rent,House,White,English
6,Female,NA,35 thru 44,45 thru 54,Homemaker,NA,No,five,three,Own,House,White,English
9,Male,Married,55 thru 64,45 thru 54,Professional/Managerial,More than ten years,Yes,two,None,Own,House,White,English
2,Female,Married,18 thru 24,18 thru 24,Homemaker,Four to six years,No,four,two,Rent,Apartment,White,English
2,Female,Living together or not married,35 thru 44,35 thru 44,Factory Worker/Laborer/Driver,NA,Not Married,two,None,Rent,House,White,English
9,Female,Married,35 thru 44,55 thru 64,Homemaker,One to three years,No,four,one,Own,House,White,English
4,Male,Married,25 thru 34,35 thru 44,Professional/Managerial,Four to six years,Yes,two,None,Rent,Apartment,Asian,English
3,Male,Single or never married,18 thru 24,35 thru 44,Student or HS or College,Seven to ten years,Not Married,two,None,Rent,Apartment,White,English
5,Female,Married,18 thru 24,35 thru 44,Sales Worker,More than ten years,Yes,two,None,Rent,Apartment,White,English
5,Male,Divorced or separated,55 thru 64,25 thru 34,Retired,NA,Not Married,one,None,Own,Condominium,White,English
9,Female,Single or never married,18 thru 24,35 thru 44,Student or HS or College,Four to six years,Not Married,four,None,Live with Parents/Family,House,White,English
8,Female,Married,55 thru 64,35 thru 44,Clerical/Service Worker,More than ten years,Yes,two,None,Own,House,White,English
9,Male,Single or never married,18 thru 24,35 thru 44,Student or HS or College,More than ten years,Not Married,three,None,Live with Parents/Family,House,White,English
9,Male,Single or never married,18 thru 24,35 thru 44,Student or HS or College,More than ten years,Not Married,four,None,Own,House,Hispanic,English
7,Female,Married,55 thru 64,35 thru 44,Homemaker,One to three years,Not Married,two,None,Own,Other,White,Other
8,Female,Married,55 thru 64,25 thru 34,Sales Worker,More than ten years,Yes,two,None,Own,House,White,English
3,Male,Married,65 and Over,25 thru 34,Retired,More than ten years,No,two,None,Own,Mobile Home,White,English
7,Female,Married,55 thru 64,35 thru 44,Retired,More than ten years,No,two,None,Own,Condominium,White,English
5,Female,Married,65 and Over,35 thru 44,Retired,NA,No,two,None,Own,House,White,English
1,Female,Divorced or separated,65 and Over,25 thru 34,Retired,More than ten years,Not Married,two,None,Own,House,White,English
9,Female,Married,45 thru 54,55 thru 64,Professional/Managerial,More than ten years,Yes,four,two,Own,House,White,English
4,Female,NA,35 thru 44,35 thru 44,Professional/Managerial,More than ten years,Not Married,NA,None,Rent,NA,White,NA
8,Female,Married,45 thru 54,55 thru 64,Professional/Managerial,One to three years,Yes,three,None,Own,House,East Indian,Other
7,Female,Married,35 thru 44,25 thru 34,Homemaker,More than ten years,No,two,None,Own,House,Other,Spanish
5,Female,Single or never married,14 thru 17,25 thru 34,Unemployed,Seven to ten years,Not Married,three,one,Live with Parents/Family,House,White,English
6,Male,Single or never married,18 thru 24,25 thru 34,Student or HS or College,More than ten years,Not Married,two,None,Live with Parents/Family,House,White,English
8,Male,Single or never married,14 thru 17,18 thru 24,Sales Worker,More than ten years,Not Married,three,one,Live with Parents/Family,House,White,English
1,Male,Single or never married,14 thru 17,18 thru 24,Student or HS or College,More than ten years,Not Married,five,three,Live with Parents/Family,House,White,English
7,Female,Single or never married,14 thru 17,14 thru 17,Professional/Managerial,One to three years,Not Married,seven,five,Rent,Condominium,Other,NA
1,Female,Single or never married,18 thru 24,25 thru 34,Professional/Managerial,More than ten years,Not Married,two,None,Live with Parents/Family,Apartment,White,English
7,Female,Married,55 thru 64,35 thru 44,Professional/Managerial,More than ten years,Yes,six,None,Own,House,American Indian,English
6,Female,Married,45 thru 54,35 thru 44,Homemaker,More than ten years,No,four,None,Own,House,White,English
8,Male,Married,25 thru 34,55 thru 64,Sales Worker,One to three years,Yes,two,None,Rent,Apartment,NA,English
9,Male,Single or never married,18 thru 24,18 thru 24,Student or HS or College,More than ten years,Not Married,five,one,Live with Parents/Family,House,White,English
4,Female,Living together or not married,25 thru 34,25 thru 34,Clerical/Service Worker,One to three years,Not Married,three,one,Rent,Apartment,American Indian,English
5,Female,NA,65 and Over,25 thru 34,Retired,More than ten years,Not Married,one,None,Rent,Apartment,White,English
5,Female,Married,65 and Over,35 thru 44,Retired,More than ten years,No,two,None,Own,House,White,English
2,Female,Divorced or separated,25 thru 34,35 thru 44,Clerical/Service Worker,NA,Not Married,three,one,Rent,Condominium,White,English
3,Female,Married,18 thru 24,45 thru 54,Sales Worker,One to three years,Yes,two,None,Rent,House,White,English
6,Male,Single or never married,45 thru 54,55 thru 64,Professional/Managerial,Less than one year,Not Married,one,None,Rent,Condominium,White,English
7,Female,Widowed,65 and Over,25 thru 34,Retired,One to three years,Not Married,two,None,NA,Condominium,White,English
7,Female,Divorced or separated,65 and Over,45 thru 54,Retired,NA,Not Married,NA,None,Rent,Condominium,White,NA
7,Female,Divorced or separated,35 thru 44,35 thru 44,Clerical/Service Worker,More than ten years,Not Married,NA,None,Own,House,White,English
1,Female,Single or never married,14 thru 17,14 thru 17,Student or HS or College,More than ten years,Not Married,NA,None,Live with Parents/Family,House,White,NA
9,Female,Married,25 thru 34,45 thru 54,Homemaker,Four to six years,No,three,one,Own,House,White,English
8,Female,Living together or not married,45 thru 54,35 thru 44,Professional/Managerial,More than ten years,Not Married,two,None,Own,House,White,NA
